nom_model,type_reseau_de_neurone,winrate,training_time,nb_partie,nb_epoch,nb_simulation,batch_size,UBC_coef_C,temperature,dirichlet_epsilon,dirichlet_alpha,learning_rate,weight_decay

model_resnet-1_1_cycle.pt,resnet,46.5,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699
model_resnet-1_2_cycle.pt,resnet,61.0,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699
model_resnet-1_3_cycle.pt,resnet,63.0,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699
model_resnet-1_4_cycle.pt,resnet,67.0,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699
model_resnet-1_5_cycle.pt,resnet,74.5,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699
model_resnet-1_6_cycle.pt,resnet,75.0,587.6166666666667,18,1,200,2,1.2504307345151218,1.65317657809206,0.482066311455148,0.1436490130101011,0.00013853542649402712,0.00014604325055079699

model_resnet-2_1_cycle.pt,resnet,57.0,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_2_cycle.pt,resnet,54.0,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_3_cycle.pt,resnet,50.5,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_4_cycle.pt,resnet,41.5,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_5_cycle.pt,resnet,49.5,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_6_cycle.pt,resnet,47.0,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_7_cycle.pt,resnet,51.0,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05
model_resnet-2_8_cycle.pt,resnet,42.5,416.075,12,5,199,2,1.866613733132223,0.7143786701721029,0.4626853778629404,0.44157550432714654,0.0005825161449508686,2.881824523073422e-05

model_resnet-3_1_cycle.pt,resnet,64.0,1821.6599999999999,29,5,365,2,1.9358996936056656,1.5362115184330305,0.38469254312069734,0.368690633697929,0.0001567954665032526,0.0005034530438554345
model_resnet-3_2_cycle.pt,resnet,51.5,1821.6599999999999,29,5,365,2,1.9358996936056656,1.5362115184330305,0.38469254312069734,0.368690633697929,0.0001567954665032526,0.0005034530438554345
model_resnet-3_3_cycle.pt,resnet,54.5,1821.6599999999999,29,5,365,2,1.9358996936056656,1.5362115184330305,0.38469254312069734,0.368690633697929,0.0001567954665032526,0.0005034530438554345
model_resnet-3_4_cycle.pt,resnet,50.5,1821.6599999999999,29,5,365,2,1.9358996936056656,1.5362115184330305,0.38469254312069734,0.368690633697929,0.0001567954665032526,0.0005034530438554345
model_resnet-3_5_cycle.pt,resnet,41.0,1821.6599999999999,29,5,365,2,1.9358996936056656,1.5362115184330305,0.38469254312069734,0.368690633697929,0.0001567954665032526,0.0005034530438554345

model_resnet-4_1_cycle.pt,resnet,56.0,2017.4599999999998,39,7,386,4,1.640407983106095,0.7314587958875456,0.4616333809020552,0.3174652370465051,0.0001290508331160649,2.8466742700884955e-05
